,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,NPOPCHG_2010,BIRTHS2010,DEATHS2010,NATURALINC2010,INTERNATIONALMIG2010,DOMESTICMIG2010,NETMIG2010,RESIDUAL2010,GQESTIMATESBASE2010
1,40,3,6,1,0,Alabama,Alabama,4779736,4780125,4785437,5312,14226,11075,3151,924,1244,2168,-7,116185
2,50,3,6,1,1,Alabama,Autauga County,54571,54597,54773,176,150,157,-7,25,147,172,11,455
3,50,3,6,1,3,Alabama,Baldwin County,182265,182265,183112,847,516,533,-17,36,782,818,46,2307
4,50,3,6,1,5,Alabama,Barbour County,27457,27455,27327,-128,71,131,-60,-1,-69,-70,2,3193
5,50,3,6,1,7,Alabama,Bibb County,22915,22915,22870,-45,44,32,12,0,-59,-59,2,2224
6,50,3,6,1,9,Alabama,Blount County,57322,57322,57376,54,184,131,53,-2,9,7,-6,489
7,50,3,6,1,11,Alabama,Bullock County,10914,10911,10876,-35,39,53,-14,1,-24,-23,2,1690
8,50,3,6,1,13,Alabama,Butler County,20947,20940,20932,-8,65,66,-1,0,-4,-4,-3,333
9,50,3,6,1,15,Alabama,Calhoun County,118572,118526,118408,-118,318,311,7,-4,-113,-117,-8,2933
10,50,3,6,1,17,Alabama,Chambers County,34215,34169,34122,-47,83,80,3,6,-54,-48,-2,458
11,50,3,6,1,19,Alabama,Cherokee County,25989,25979,25963,-16,54,110,-56,1,41,42,-2,290
12,50,3,6,1,21,Alabama,Chilton County,43643,43632,43653,21,124,144,-20,-2,47,45,-4,393
13,50,3,6,1,23,Alabama,Choctaw County,13859,13858,13849,-9,29,21,8,1,-18,-17,0,129
14,50,3,6,1,25,Alabama,Clarke County,25833,25833,25766,-67,49,45,4,1,-78,-77,6,280
15,50,3,6,1,27,Alabama,Clay County,13932,13930,13898,-32,27,38,-11,0,-21,-21,0,255
16,50,3,6,1,29,Alabama,Cleburne County,14972,14972,15004,32,42,22,20,0,13,13,-1,178
17,50,3,6,1,31,Alabama,Coffee County,49948,49955,50208,253,168,77,91,40,118,158,4,600
18,50,3,6,1,33,Alabama,Colbert County,54428,54428,54524,96,162,130,32,7,59,66,-2,474
19,50,3,6,1,35,Alabama,Conecuh County,13228,13236,13236,0,33,13,20,0,-20,-20,0,45
20,50,3,6,1,37,Alabama,Coosa County,11539,11756,11780,24,21,11,10,-1,16,15,-1,338
21,50,3,6,1,39,Alabama,Covington County,37765,37762,37809,47,100,91,9,0,43,43,-5,575
22,50,3,6,1,41,Alabama,Crenshaw County,13906,13893,13869,-24,36,23,13,8,-47,-39,2,132
23,50,3,6,1,43,Alabama,Cullman County,80406,80406,80456,50,249,228,21,-2,41,39,-10,1056
24,50,3,6,1,45,Alabama,Dale County,50251,50251,50394,143,174,73,101,46,-1,45,-3,917
25,50,3,6,1,47,Alabama,Dallas County,43820,43813,43854,41,129,76,53,0,-7,-7,-5,786
26,50,3,6,1,49,Alabama,DeKalb County,71109,71120,71163,43,232,152,80,11,-42,-31,-6,782
27,50,3,6,1,51,Alabama,Elmore County,79303,79272,79552,280,234,191,43,8,218,226,11,5483
28,50,3,6,1,53,Alabama,Escambia County,38319,38320,38345,25,121,62,59,-2,-28,-30,-4,3199
29,50,3,6,1,55,Alabama,Etowah County,104430,104429,104459,30,260,287,-27,10,60,70,-13,2085
30,50,3,6,1,57,Alabama,Fayette County,17241,17235,17229,-6,41,39,2,-2,-3,-5,-3,291
31,50,3,6,1,59,Alabama,Franklin County,31704,31709,31746,37,120,65,55,-2,-15,-17,-1,272
